####################################################################################################
Online Supporting Information S2. 

The input maximum signal dataset including the maximum signals of Chip-seq and DNase-seq in 5000 DNase I hypersensitive sites. 

#####################################################################################################

Chr	start	end	dnase1sig	H3k9me3	H3k27ac	H3k4me3	H3k4me1	H3k4me2	H3k27me3	H3k36me3	H3k9ac	H4k20me1	H3k79me2	BRCA1	BACH1	CEBPB	CHD1	CHD2	CJUN	CTCF	GTF2F1	CMYC	CTBP2	JUND	MXI1	MAX	MAFK	RFX5	RAD21	NRF1	SUZ12	SIN3A	TBP	ZNF143	USF2	ZNF274
chr11	46926627	46926916	0.055	2.28	4	5	17.32	2.04	1	4.36	7	7	13	6	10	7	6	4	8	2	6	4	7	4	11	6.9	8	8	10	5	2.8	12	11	10	6	5
chr20	61948864	61954555	0.135	5	8.52	5.12	10	5	4.08	4	7.32	9	6.2	7	9	7	9	14	9	15.44	9	11	9	10	10	4.1	6	6	14	9	6.4	11	6	12	8	3
chr11	364220	365603	1.046	9.88	9.8	6	17.92	20.52	9	6	5.72	5	3	11	17	17	7	24	15	346.52	16	13	24	45	21	12	9	12	96	12	8.1	42	38	95	16	4
chr9	132311952	132313036	0.205	5	6.88	21.96	12.28	72.72	35.08	3	16.32	2.08	4	13	23	7	12	40	11	5.4	13	16	18	16	17	6.9	6	13	21	13	5.5	31	41	21	17	4
chr17	78789979	78790564	0.049	3	7.48	1.84	6	4	3	2.08	8.88	4.52	8.2	8	6	6	6	7	9	11	5	7	8	9	12	2.8	42	7	10	4	4.6	7	6	13	10	4
chr19	6475259	6477490	0.506	5	20.88	40.2	17.76	142.96	18.2	3	22.24	7.64	4	29	33	14	15	83	11	11	15	28	20	18	28	24.9	10	17	12	20	4.6	59	32	34	19	4
chr12	54788034	54788350	0.071	7	6.32	2.96	15.6	8	3.8	2	6.04	7.28	6	17	15	17	14	17	9	231.04	21	31	14	29	24	6.9	16	16	126	14	1.8	43	16	92	25	1
chr2	11605668	11606607	0.226	6	16.92	13	11.84	34.76	13.28	1.56	18.28	10	16.2	21	104	29	19	56	42	6.12	44	37	22	70	28	138.2	43	122	18	225	4.1	44	34	46	94	5
chr22	45949432	45950336	0.291	7.16	11.24	4	12.68	8.72	1	14.04	6.92	14.04	10.64	24	25	31	17	50	17	421.48	42	30	20	31	39	37.3	25	19	305	16	5.5	58	22	109	27	4
chr16	464534	465203	0.09	5	7	2	3	7	2.8	2	8.44	8	3	3	6	16	6	15	2	10.4	7	7	5	8	9	3	41	5	8	4	5.5	8	5	10	9	2
chr1	3168571	3168935	0.041	5	5	2	8	1.64	1.64	2	4	6	2.52	7	6	3	7	3	9	6	6	5	3	3	6	2.8	3	5	7	6	2.8	5	3	5	7	1
chr19	41815780	41816735	0.202	10	73.6	80.72	8	99.08	2.84	4.72	131.84	8	14.56	33	92	56	22	52	26	8.8	36	33	34	37	60	13.8	16	29	16	307	2.8	131	116	73	37	3
chr14	101249753	101250274	0.041	3	4.88	3	6.08	2	3.56	2.8	3	3	8.92	4	2	5	6	6	4	4	3	5	5	10	9	11.1	2	11	4	6	1.8	7	4	6	11	2
chr11	75914307	75914925	0.067	3.92	5	1.44	4	4	17.24	3.2	5	10	4	5	7	6	7	11	8	5	5	5	5	6	6	2.8	7	6	5	7	3.7	7	6	7	6	3
chr16	19886232	19886557	0.053	3	7.36	2	13.52	2	2	6	5	15.2	76.84	5	6	7	3	7	5	6	5	5	8	6	6	4.1	3	9	10	9	5.5	7	8	9	11	3
chr8	102503803	102505090	0.383	9	42.88	62.16	18.68	140.8	7	6	63.68	9.36	11.88	17	42	68	30	41	17	9	44	22	15	23	31	31.8	18	20	23	21	5.5	75	152	35	21	6
chr20	56034541	56034903	0.049	2	6.44	1	7.56	3	1.32	1	3.56	1	3	6	5	5	4	6	6	8	2	5	5	6	5	1.4	3	3	1	3	2.8	7	5	7	19	2
chr15	85174379	85174889	0.158	4.88	9.96	50.52	9.36	111.04	2.76	3.48	16.96	4	5.04	23	30	12	7	202	16	3	15	15	15	22	65	13.8	11	20	11	14	4.6	138	27	648	17	3
chr3	48630239	48630550	0.043	9	7.04	1	5.6	3.68	1.88	2.68	6	4.96	3	4	5	5	7	8	8	6	5	4	2	7	4	4.1	3	8	3	4	5.5	4	5	5	10	4
chr9	137395858	137396169	0.046	3.24	2	1.6	1.6	2.68	3	2	2.56	4	2	4	7	6	7	3	3	20.56	3	4	9	4	6	1.4	3	8	5	4	4.6	6	6	2	6	4
chr2	159312887	159314952	0.36	8	52.84	60.32	7.72	105.6	3	4	102.36	12.52	30.16	23	63	19	28	61	20	46.4	35	43	52	36	35	23.5	13	18	92	12	5.5	123	143	90	20	4
chr5	138254489	138254733	0.053	3.68	6.84	2	10.92	9.84	1.08	9.16	3.08	9.44	11.76	13	10	10	7	10	12	2.76	12	11	13	9	12	1.4	6	7	8	6	9.2	16	6	15	12	2
chr1	54963947	54964407	0.049	8.4	4.04	4	16.92	21	7	3.32	5	8	8.28	11	5	7	11	17	18	3	7	11	13	5	8	4.1	5	12	8	16	9.2	8	9	13	11	4
chr2	238786742	238788026	0.057	5	7.04	2	10.84	9.32	4	5	6	5	5	5	10	7	10	6	8	5.28	7	9	17	8	7	8.3	6	8	5	7	4.6	8	10	10	14	3
chr17	41394187	41394436	0.045	5	9	2.28	6	8.8	1.4	1	7.32	6.24	3	13	12	10	5	10	10	5	4	8	6	18	7	4.1	6	13	5	7	3.7	8	5	8	7	2
chr7	116139304	116140824	0.122	5	6.44	38.28	17.88	136.88	37.4	4	18.76	7	6	10	11	13	14	15	12	7.24	12	15	19	21	17	27.6	11	9	15	10	9.2	43	19	20	12	4
chr5	159848631	159849101	0.101	5.36	17.04	58.4	6	54.28	1	3	44.52	8	25.96	10	21	9	12	30	12	10	31	24	6	23	28	9.7	7	13	10	14	1.8	54	153	15	14	2
chr12	122247741	122248620	0.061	3	11	3	17.28	7.12	4	10.96	15	10.76	18.92	6	7	6	9	9	3	3.8	6	5	9	5	7	1.4	5	7	3	7	7.3	10	6	6	9	1
chr17	73615579	73617496	0.554	5	6.48	4.28	21.2	10.4	5	5	10.44	10.72	4.48	12	19	14	10	33	17	322.12	16	15	15	22	26	8.3	13	15	95	15	7.3	39	26	73	25	5
chr16	57546570	57546774	0.043	3.72	4.64	1	5	1.44	2	5	3	5	4	3	4	1	3	4	4	1	1	6	3	2	6	1.4	4	4	5	5	2.8	6	8	6	2	4
