####################################################################################################
Online Supporting Information S3. 

The input average signal dataset including the average signals of Chip-seq and DNase-seq in 5000 DNase I hypersensitive sites. 

#####################################################################################################

Chr	start	end	dnase1sig	H3k9me3	H3k27ac	H3k4me3	H3k4me1	H3k4me2	H3k27me3	H3k36me3	H3k9ac	H4k20me1	H3k79me2	BRCA1	BACH1	CEBPB	CHD1	CHD2	CJUN	CTCF	GTF2F1	CMYC	CTBP2	JUND	MXI1	MAX	MAFK	RFX5	RAD21	NRF1	SUZ12	SIN3A	TBP	ZNF143	USF2	ZNF274
chr11	46926627	46926916	0.048	1.142	3.215	2.667	13.611	1.818	0.836	3.276	4.524	5.625	11.105	4.3	7.25	4.273	3.545	3	4.714	1.607	3.5	3.333	4.929	2.571	6.789	4.137	3.364	5.929	5.5	2.875	1.067	5.188	6.625	5.875	4.5	3.5
chr20	61948864	61954555	0.068	1.818	3.242	1.398	3.126	1.757	1.621	1.616	2.148	2.772	2.001	2.75	3.759	3.437	4.072	4.628	4	2.6	3.889	3.394	3.414	4.492	4.809	1.281	2.685	2.913	4.143	3.542	2.344	4.982	3.065	5.658	4.372	1.735
chr11	364220	365603	0.272	4.1	4.418	2.159	6.902	5.746	4.489	3.22	3.117	2.413	1.922	5.873	9.477	7.818	3.364	12.095	6.265	57.526	8.18	7.696	11.153	22.842	11.839	5.945	5.661	6.212	42.065	5.902	3.394	21.254	16.598	42.568	8.972	2.261
chr9	132311952	132313036	0.11	2.254	3.152	12.807	7.302	45.529	16.372	1.715	7.865	1.507	1.688	7.246	13.061	3.613	7.344	18.008	6.152	2.453	7.136	8.366	9.863	9.595	9.11	2.487	3.192	7	12.625	6.039	2.717	16.257	19.678	11.7	9.807	2.25
chr17	78789979	78790564	0.043	1.371	4.666	0.985	3.972	3.04	1.714	1.618	4.287	3.122	4.871	5.138	4	3.769	3.524	4.64	4.947	4.696	2.909	4.75	4.056	5.034	7.5	1.2	24.27	4.105	7.132	2.625	2.295	4.435	4.476	6.833	5.903	2.125
chr19	6475259	6477490	0.175	2.207	5.395	20.252	8.586	75.278	6.894	1.336	8.813	3.279	1.876	11.679	18.167	6.596	6.847	27.516	5.823	5.692	8.302	12.855	9.435	9.763	15.022	9.518	5.252	9.217	6.906	7.71	1.807	29.355	13.49	16.128	11.239	1.957
chr12	54788034	54788350	0.056	4.686	4.498	2.191	9.449	5.458	1.295	1.24	2.72	4.877	2.905	12.688	11.581	12.946	10.091	12.162	7.125	148.969	15.475	20	8	20.509	18.634	5.014	11.848	8.391	81.473	11.52	0.788	29.459	10.968	62.177	18.717	1
chr2	11605668	11606607	0.105	3.37	6.576	7.224	4.992	22.563	4.037	0.977	8.988	4.085	3.438	10.309	48.61	14.745	10.36	28	18.462	2.967	25.581	18.739	10.13	30.169	13.804	45.986	24.034	58.153	7.25	104.25	2.268	18.662	17.5	22.435	41.155	2.87
chr22	45949432	45950336	0.132	3.455	7.087	1.76	8.259	4.086	0.888	6.033	4.282	7.061	4.026	11.532	13.562	16.667	9.491	28.07	8.473	109.047	20.694	14.808	10.702	18.091	19.907	17.963	12.274	10.897	148.78	7.911	3.078	30.072	11.761	53.657	16.869	1.818
chr16	464534	465203	0.068	2.16	4.634	1.259	1.484	3.226	1.478	1.446	4.443	4.28	1.567	1.727	4.185	8.3	3.923	8.8	1.545	4.123	4.1	3.667	2.769	4.353	4.6	1.775	21.507	3.056	4.643	2.167	2.552	5.452	2.538	6.822	5.778	1.333
chr1	3168571	3168935	0.039	3.192	3.541	1.45	5.147	1.046	0.978	1.091	2.668	3.973	1.493	4.3	3.091	2.25	4.5	2.2	5	3.501	4.308	2.5	1.667	1.857	4	1.4	1.667	2.833	4.071	3.714	1.55	3.7	2	3.1	4	1
chr19	41815780	41816735	0.132	4.692	26.398	58.371	5.889	64.701	1.568	2.643	55.54	5.345	5.179	17.85	47.898	28.152	15.281	29.444	13.376	4.809	19.965	19.154	18.535	24.319	34.688	7.829	10.588	18.175	9.775	132.37	1.5	75.155	63.132	38.276	21.019	1.889
chr14	101249753	101250274	0.039	1.765	3.69	1.511	4.002	1.293	2.169	1.38	1.916	1.61	3.792	2	1.333	2.933	3.455	4.96	2.333	1.705	2.111	3.667	2.857	5.68	5.107	6.225	1.5	6.882	2.667	3.25	0.675	4	2.5	4	5.81	1.333
chr11	75914307	75914925	0.054	1.902	3.038	0.985	2.047	1.84	7.549	2.093	2.489	4.059	1.614	2.769	3.952	3.5	3.083	5.8	4.778	2.477	2.692	3	2.706	3.304	3.3	1.05	3.231	3.214	3.333	4.083	2.146	3.857	3.667	3.885	3.409	1.667
chr16	19886232	19886557	0.046	1.763	5.545	1.203	10.809	1.298	1.252	4.403	1.932	11.791	70.631	3.636	4.615	3.917	1.8	4.615	3.25	3.431	4.3	3	5.385	3.889	4.455	2.63	1.75	6.5	6.905	5.778	2.918	4	5.056	5.812	6.75	2
chr8	102503803	102505090	0.14	4.539	25.987	34.91	10.722	88.209	2.517	2.085	36.111	3.987	3.961	9.495	24.884	29.43	20.598	22.919	8.397	3.829	22.519	13.681	9.899	14.359	20.203	12.181	11.25	12.444	14.034	12.405	2.166	46.55	73.408	15.762	14.094	2.857
chr20	56034541	56034903	0.043	1.228	3.229	0.8	3.457	2.011	0.94	0.909	2.749	0.925	1.68	3.8	3.1	2.5	2.714	3.882	4.25	2.512	1.333	2.692	2.625	3.1	2.778	0.7	1.833	2.333	1	2.286	1.311	4.429	3.643	4.875	9.444	2
chr15	85174379	85174889	0.104	2.82	4.768	24.294	3.822	54.806	1.687	2.462	8.908	1.653	2.326	15.391	16.328	6.735	4.565	105.752	8.429	1.757	10.089	11.48	8.852	14.065	42.881	8.329	6.484	14.327	6.16	7.636	2.187	82.068	19	317.12	11.86	1.875
chr3	48630239	48630550	0.039	5.351	4.615	0.914	3.64	2.157	1.135	1.385	4.295	3.095	2.105	2.429	3.1	3.444	5.167	3.727	5.625	3.883	3.308	2.5	1.5	5.125	2.286	1.94	1.8	4.538	2.286	2.556	3.141	2.667	2.625	2.75	7	2.429
chr9	137395858	137396169	0.042	2.89	1.527	0.935	1.05	1.667	1.617	1.417	1.677	2.483	1.413	2.25	5.353	3.9	4.214	2.2	1.8	16.037	2.2	2.167	6.5	2.833	3.857	1.4	1.667	4.714	3.5	3.167	2.4	4	3.7	1.333	3.364	2.833
chr2	159312887	159314952	0.156	2.752	23.409	35.44	3.681	49.787	1.473	1.686	42.993	3.723	8.844	11.842	24.551	7.669	14.359	26.275	8.6	14.197	15.728	17.816	20.27	16.453	18.587	11.065	7.063	10.155	34.838	7.058	2.144	62.468	50.979	33.176	12.916	2
chr5	138254489	138254733	0.045	1.94	4.86	1.46	8.896	7.452	1.008	7.288	2.2	5.964	9.428	10.864	7	7.733	4.778	6.588	9.2	2.052	8.278	7.818	7.615	5.615	9.909	0.467	5	5.667	6.417	3.444	4.541	10.84	4.923	11.667	9.714	1.5
chr1	54963947	54964407	0.041	3.931	2.465	2.649	14.051	10.825	4.992	1.757	2.179	5.377	2.848	7.355	3.786	4.067	5.389	11.561	10.931	2.067	4.294	8	8.654	3.167	5.227	1.773	3	8.548	4.9	10.125	3.591	5.862	5.429	7.758	7.444	2.571
chr2	238786742	238788026	0.047	2.567	3.579	1.157	4.527	3.972	1.719	1.579	2.913	2.747	2.354	2.7	5.052	3.744	4.839	3.424	4.071	2.643	4.154	4.659	7.102	4.514	3.118	3.348	2.714	3.868	2.464	3.731	1.99	4.25	4.738	5.435	5.885	1.667
chr17	41394187	41394436	0.041	3.708	6.268	1.316	4.848	5.296	1.072	0.948	6.004	4.444	2.4	9.2	8.611	7.846	3.556	7.8	6.933	4.324	3.5	6.182	3.556	12.704	5.786	2.789	4.091	9.524	3	3.429	1.93	6.154	3.375	6.357	5.333	1.5
chr7	116139304	116140824	0.066	2.274	2.521	19.591	7.861	74.333	17.473	1.516	6.271	3.202	2.43	5.301	6.16	6.724	8.618	7.856	5.263	3.102	6.597	8.653	10.149	11.459	9.492	10.901	5.761	4.952	7.727	5.232	3.879	24.87	9.709	9.851	8.07	2.042
chr5	159848631	159849101	0.072	2.984	8.078	23.067	2.823	26.509	0.967	1.84	20.998	2.067	7.585	7.125	13.672	6.667	8.978	19.935	7.062	5.248	18.38	16.203	3.471	13.907	19.231	5.821	4.095	9.929	6.192	8.947	0.771	41.075	84.009	11.542	9.2	1.333
chr12	122247741	122248620	0.046	1.392	4.456	1.789	7.703	2.467	1.857	4.439	5.025	5.753	11.278	3.08	3.478	3.3	4.697	5.574	1.923	1.555	3.208	2.5	4.68	2.955	3.625	0.84	3.3	4.065	1.909	3.762	3.216	5.622	2.824	3.462	6.34	1
chr17	73615579	73617496	0.138	2.259	3.379	2.042	6.138	3.953	2.627	2.02	5.312	3.919	2.54	5.885	8.808	5.543	5.244	14.03	7.561	41.317	5.506	7.789	8.175	9.425	10.442	2.91	5.262	7.33	40.018	6.49	2.732	17.824	11.077	31.576	11.837	2.545
